PiSnoop 9.8.2.0 logfile created 14:01:38 09/11/2023 (dd/mm/yyyy)
Tip: in Excel select whole heading row (row 4) and do Data... Filter to view only desired messages. 64 bytes shown if any monitored channel in CAN-FD mode. #channel_types=CAN1:CAN#

Time (abs),Time (rel),Channel,Dir,ID,Name,Len,B0,B1,B2,B3,B4,B5,B6,B7,DBC signal name/value pairs...
14:07:29,351.1442,CAN1,Tx,0x7E0,,8,21,00,00,17,00,e7,07,09,
14:07:29,351.1452,CAN1,Tx,0x7E0,,8,22,00,14,00,01,00,43,54,
14:07:29,351.1462,CAN1,Tx,0x7E0,,8,23,00,00,c9,00,00,00,00,
14:07:29,351.1472,CAN1,Tx,0x7E0,,8,24,00,00,00,00,00,00,00,
14:07:29,351.1482,CAN1,Tx,0x7E0,,8,25,00,00,00,00,00,00,00,
14:07:29,351.1492,CAN1,Tx,0x7E0,,8,26,00,00,00,00,00,00,00,
14:07:29,351.1502,CAN1,Tx,0x7E0,,8,27,00,00,52,59,17,80,50,
14:07:29,351.1512,CAN1,Tx,0x7E0,,8,28,59,17,80,4e,59,17,80,
14:07:29,351.1522,CAN1,Tx,0x7E0,,8,29,46,59,17,80,07,59,17,
14:07:29,351.1532,CAN1,Tx,0x7E0,,8,2a,80,ec,58,17,80,00,00,
14:07:29,351.1542,CAN1,Tx,0x7E0,,8,2b,00,00,6c,9c,17,80,70,
14:07:29,351.1552,CAN1,Tx,0x7E0,,8,2c,88,12,80,74,88,12,80,
14:07:29,351.1562,CAN1,Tx,0x7E0,,8,2d,78,88,12,80,7c,88,12,
14:07:29,351.1572,CAN1,Tx,0x7E0,,8,2e,80,7d,88,12,80,80,88,
14:07:29,351.1582,CAN1,Tx,0x7E0,,8,2f,12,80,84,88,12,80,85,
14:07:29,351.1592,CAN1,Tx,0x7E0,,8,20,88,12,80,f9,06,00,00,
14:07:29,351.1602,CAN1,Tx,0x7E0,,8,21,f8,06,00,00,f4,01,00,
14:07:29,351.1612,CAN1,Tx,0x7E0,,8,22,00,00,00,00,00,e8,03,
14:07:29,351.1622,CAN1,Tx,0x7E0,,8,23,00,00,00,00,00,00,a8,
14:07:29,351.1632,CAN1,Tx,0x7E0,,8,24,88,12,80,ac,88,12,80,
14:07:29,351.1642,CAN1,Tx,0x7E0,,8,25,b0,88,12,80,b4,88,12,
14:07:29,351.1652,CAN1,Tx,0x7E0,,8,26,80,b5,88,12,80,b8,88,
14:07:29,351.1662,CAN1,Tx,0x7E0,,8,27,12,80,bc,88,12,80,bd,
14:07:29,351.1672,CAN1,Tx,0x7E0,,8,28,88,12,80,f7,06,00,00,
14:07:29,351.1682,CAN1,Tx,0x7E0,,8,29,f6,06,00,00,f4,01,00,
14:07:29,351.1692,CAN1,Tx,0x7E0,,8,2a,00,00,00,00,00,00,00,
14:07:29,351.1702,CAN1,Tx,0x7E0,,8,2b,00,00,00,00,00,00,00,
14:07:29,351.1712,CAN1,Tx,0x7E0,,8,2c,00,00,00,e4,58,17,80,
14:07:29,351.1722,CAN1,Tx,0x7E0,,8,2d,00,00,00,00,00,00,00,
14:07:29,351.1732,CAN1,Tx,0x7E0,,8,2e,00,00,00,00,00,00,00,
14:07:29,351.1742,CAN1,Tx,0x7E0,,8,2f,00,00,00,00,00,00,00,
14:07:29,351.1752,CAN1,Tx,0x7E0,,8,20,00,00,00,00,00,00,00,
14:07:29,351.1762,CAN1,Tx,0x7E0,,8,21,00,00,00,00,00,00,00,
14:07:29,351.1772,CAN1,Tx,0x7E0,,8,22,00,00,00,00,00,00,00,
14:07:29,351.1782,CAN1,Tx,0x7E0,,8,23,00,00,00,00,00,00,00,
14:07:29,351.1792,CAN1,Tx,0x7E0,,8,24,00,00,00,00,00,00,00,
14:07:29,351.1802,CAN1,Tx,0x7E0,,8,25,00,00,00,00,00,00,00,
14:07:29,351.1812,CAN1,Tx,0x7E0,,8,26,00,00,00,00,00,00,00,
14:07:29,351.1823,CAN1,Tx,0x7E0,,8,27,00,00,00,00,00,00,00,
14:07:29,351.1833,CAN1,Tx,0x7E0,,8,28,00,00,00,00,00,00,00,
14:07:29,351.1843,CAN1,Tx,0x7E0,,8,29,00,00,00,00,00,00,00,
14:07:29,351.1853,CAN1,Tx,0x7E0,,8,2a,00,00,00,00,00,00,00,
14:07:29,351.1863,CAN1,Tx,0x7E0,,8,2b,00,00,00,00,00,00,00,
14:07:29,351.1873,CAN1,Tx,0x7E0,,8,2c,00,00,00,00,00,00,00,
14:07:29,351.1883,CAN1,Tx,0x7E0,,8,2d,00,00,00,00,00,00,00,
14:07:29,351.1893,CAN1,Tx,0x7E0,,8,2e,00,00,00,00,00,00,00,
